state,total_medicaid_overpayment,top_drug,top_drug_overpayment,drugs_analyzed
CA,849411848.8030561,Ibuprofen 600mg Tablet,14100373.72486,1758
NY,597343277.6107522,Ergocalciferol 1.25mg Capsule,18353459.004393198,1764
OH,248707606.16511095,Albuterol HFA 90mcg Inhaler,6627110.525294117,1530
PA,194636651.7269271,Albuterol HFA 90mcg Inhaler,4682990.791688236,1543
KY,174441867.06443894,Cetirizine HCl 10mg Tablet,3366418.9324999996,1443
MO,145829152.45040408,Pantoprazole Sodium 40mg Delayed Release Tablet,2639697.4999,1309
LA,145510256.64900848,Dapagliflozin Propanediol 10mg Tablet,11391635.639999999,1401
NC,142364507.40516177,Dapagliflozin Propanediol 10mg Tablet,3280723.8866666663,1460
WA,140838809.99077913,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),14277608.583333334,1381
TX,138961435.4574103,Dapagliflozin Propanediol 10mg Tablet,6824935.779999999,1536
IL,137887327.07485873,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),5780747.471111111,1484
MI,137228148.72421807,Tasimelteon 20mg Capsule,3801226.06,1442
IN,124769243.28736705,Varenicline Tartrate 1mg Tablet,1506987.1271725,1416
VA,123210830.40931463,Albuterol HFA 90mcg Inhaler,1810688.744352941,1496
FL,118714002.67111558,Prednisolone Sodium Phosphate 15mg/5ml mL,3372840.0618470465,1443
MN,111767461.77373011,Bupropion XL 150mg Extended Release Tablet,1535903.2659999998,1266
NJ,108090864.6736585,Dapagliflozin Propanediol 10mg Tablet,12799288.318333335,1485
AZ,104218916.02161872,Emtricitabine-Tenofovir DF 200mg - 300mg Bottle of Tablets,1553340.5306666668,1351
NM,103140754.11534795,Ibuprofen 400mg Tablet,2994005.77124,1139
MA,100637116.32216968,Emtricitabine-Tenofovir DF 200mg - 300mg Bottle of Tablets,1401985.8963333333,1335
WI,99308339.22167443,Omeprazole Delayed Release (DR) 20mg Delayed Release Capsule,1590891.39616,1293
PR,89909633.30511153,Albuterol HFA 90mcg Inhaler,3662404.9084705883,863
MD,86986180.97991003,Dapagliflozin Propanediol 10mg Tablet,7002478.123333333,1434
OR,80421804.27571185,Dapagliflozin Propanediol 10mg Tablet,8245712.903333335,1328
CT,79025147.9304483,Pantoprazole Sodium 40mg Delayed Release Tablet,1233837.3340000003,1353
TN,75690332.9724646,Ciprofloxacin-Dexamethasone 0.3-0.1% Ear Dropper,1274784.7299999997,1332
CO,73001105.65497309,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),1290802.722222222,1297
GA,70961196.44801608,Dapagliflozin Propanediol 10mg Tablet,2225917.9883333333,1327
WV,55824389.22470721,Pantoprazole Sodium 40mg Delayed Release Tablet,1155086.2055000002,1116
AL,49242312.69363015,Dapagliflozin Propanediol 10mg Tablet,3276265.2249999996,1273
SD,48439556.872915186,Ibuprofen 400mg Tablet,2085459.6972400001,844
AR,45754414.07831883,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),2729536.65,1008
NV,43274018.183346465,Dapagliflozin Propanediol 10mg Tablet,5215521.623333333,1220
MS,36571218.78545548,Cetirizine HCl 1mg/mL Bottle of Solution,1045879.8061666667,1036
OK,33648281.21745113,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),620560.0366666666,1136
SC,29826195.72962431,Dasatinib 100 mg Bottle of 30 Tablets,530952.12,1179
ID,29386817.492794402,Omeprazole Delayed Release (DR) 40mg Delayed Release Capsule,597678.167545,1062
UT,29250878.986238472,Dapagliflozin Propanediol 10mg Tablet,1662187.2183333333,1066
KS,24280915.55970784,Dapagliflozin Propanediol 10mg Tablet,794836.2716666666,1076
NE,22656278.233242527,Cetirizine HCl 10mg Tablet,531119.73805,1031
MT,21280912.165236767,Omeprazole Delayed Release (DR) 20mg Delayed Release Capsule,388665.979222,886
RI,20204766.941231042,Dapagliflozin Propanediol 10mg Tablet,3122162.341666667,1055
ME,18725362.389990475,Sertraline 100mg Tablet,270948.71576,947
IA,16683436.999906376,Albuterol HFA 90mcg Inhaler,506124.94647058815,1235
AK,15735852.168095581,Dapagliflozin Propanediol 10mg Tablet,490509.98333333334,902
HI,15068068.858154995,Dapagliflozin Propanediol 10mg Tablet,1964592.4916666667,930
DE,10043145.611666052,Omeprazole Delayed Release (DR) 40mg Delayed Release Capsule,209730.41925500002,981
VT,9307502.514889281,Sertraline 100mg Tablet,157037.17392,821
ND,8667896.820696376,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),745012.7799999999,708
NH,7899256.513856023,Dapagliflozin Propanediol 10mg Tablet,641508.4866666667,1010
DC,7829211.482213118,Dapagliflozin Propanediol 10mg Tablet,616171.3433333334,916
WY,3397564.7223985954,Cetirizine HCl 10mg Tablet,73513.3073,557
